name,ticker
"CODERE, S.A.",CDR
"ENAGAS, S.A.",ENG
"VOCENTO, S.A.",VOC
"ENCE ENERGIA Y CELULOSA, S.A.",ENC
"BARON DE LEY, S.A.",BDL
"GRUPO CATALANA OCCIDENTE, S.A.",GCO
"CAIXABANK, S.A.",CABK
"PRIM, S.A.",PRM
"PROSEGUR CASH, S.A.",CASH
"COMPAÑIA LEVANTINA DE EDIFICACION Y OBRAS PUBLICAS, S.A.",CLEO
"BANCO SANTANDER, S.A.",SAN
"AENA, S.M.E., S.A.",AENA
"MERLIN PROPERTIES, SOCIMI, S.A.",MRL
"FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A.",FCC
"ABENGOA, S.A.",ABG.P
"RENO DE MEDICI, S.P.A.",RDM
"BODEGAS RIOJANAS, S.A.",RIO
"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.",ACS
"DOGI INTERNATIONAL FABRICS, S.A.",DGI
"EDREAMS ODIGEO, S.A.",EDR
"REALIA BUSINESS, S.A.",RLIA
"PROSEGUR, COMPAÑIA DE SEGURIDAD, S.A.",PSG
"LINGOTES ESPECIALES, S.A.",LGT
"TELEPIZZA GROUP, S.A.",TPZ
"REPSOL, S.A.",REP
"URBAS GRUPO FINANCIERO, S.A.",UBS
"ORYZON GENOMICS, S.A.",ORY
"MASMOVIL IBERCOM, S.A.",MAS
"VERTICE TRESCIENTOS SESENTA GRADOS, S.A.",VER
"CLINICA BAVIERA, S.A.",CBAV
"FERSA ENERGIAS RENOVABLES, S.A.",FRS
"AMPER, S.A.",AMP
"SIEMENS GAMESA RENEWABLE ENERGY, S.A.",SGRE
"ZARDOYA OTIS, S.A.",ZOT
"NATURHOUSE HEALTH, S.A.",NTH
"PROMOTORA DE INFORMACIONES, S.A.",PRS
"ADOLFO DOMINGUEZ, S.A.",ADZ
"ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION, S.A.",A3M
"PESCANOVA, S.A.",PVA
"ACCIONA, S.A.",ANA
"NEINOR HOMES, S.A.",HOME
"GLOBAL DOMINION ACCESS, S.A.",DOM
"INYPSA INFORMES Y PROYECTOS, S.A.",INY
"AZKOYEN, S.A.",AZK
"PARQUES REUNIDOS SERVICIOS CENTRALES, S.A.",PQR
"ABERTIS INFRAESTRUCTURAS, S.A.",ABE
"EUSKALTEL, S.A.",EKT
"INDRA SISTEMAS, S.A.",IDR
"SNIACE, S.A.",SNC
"CELLNEX TELECOM, S.A.",CLNX
"SAETA YIELD, S.A.",SAY
"LIBERBANK, S.A.",LBK
"MONTEBALITO, S.A.",MTB
"COMPAÑIA DE DISTRIBUCION INTEGRAL LOGISTA, S.A.",LOG
"IBERPAPEL GESTION, S.A.",IBG
"GENERAL DE ALQUILER DE MAQUINARIA, S.A.",GALQ
"REYAL URBIS, S.A.",REY
"OBRASCON HUARTE LAIN, S.A.",OHL
"UNICAJA BANCO, S.A.",UNI
"MAPFRE, S.A.",MAP
"BANKIA, S.A",BKIA
"HISPANIA ACTIVOS INMOBILIARIOS SOCIMI, S.A.",HIS
"BANCO DE SABADELL, S.A.",SAB
"INMOBILIARIA DEL SUR, S.A.",ISUR
"SOTOGRANDE, S.A.",STG
"RENTA 4 BANCO, S.A.",R4
"ELECNOR, S.A.",ENO
"AXIARE PATRIMONIO SOCIMI, S.A.",AXIA
"VIDRALA, S.A.",VID
"SERVICE POINT SOLUTIONS, S.A.",SPS
"BOLSAS Y MERCADOS ESPAÑOLES, SDAD HOLDING DE MDOS Y STMAS FIN., S.A.",BME
"PAPELES Y CARTONES DE EUROPA, S.A.",PAC
"BANKINTER, S.A.",BKT
"ACERINOX, S.A.",ACX
"SACYR, S.A.",SCYR
"GRIFOLS, S.A.",GRF.P
"ENDESA, S.A.",ELE
"CIE AUTOMOTIVE, S.A.",CIE
"EBRO FOODS, S.A.",EBRO
"TUBACEX, S.A.",TUB
"RENTA CORPORACION REAL ESTATE, S.A.",REN
"IBERDROLA, S.A.",IBE
"MELIA HOTELS INTERNATIONAL S.A.",MEL
"DEOLEO, S.A.",OLE
"MEDIASET ESPAÑA COMUNICACION, S.A.",TL5
"GAS NATURAL SDG, S.A.",GAS
"TECNICAS REUNIDAS, S.A.",TRE
"NICOLAS CORREA, S.A.",NEA
"ABENGOA, S.A.",ABG
"LABORATORIOS FARMACEUTICOS ROVI, S.A.",ROVI
"MIQUEL Y COSTAS & MIQUEL, S.A.",MCM
"NYESA VALORES CORPORACION, S.A.",NYE
"CORPORACION EMPRESARIAL DE MATERIALES DE CONSTRUCCION, S.A.",CMC
"INDUSTRIA DE DISEÑO TEXTIL, S.A.",ITX
"LAR ESPAÑA REAL ESTATE SOCIMI, S.A.",LRE
"PHARMA MAR, S.A.",PHM
"QUABIT INMOBILIARIA, S.A.",QBT
"FUNESPAÑA, S.A.",FUN
"LABORATORIO REIG JOFRE, S.A.",RJF
"INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A.",IAG
"ALANTRA PARTNERS, S.A.",ALNT
"GRUPO EMPRESARIAL SAN JOSE, S.A.",GSJ
"FAES FARMA, S.A.",FAE
"ERCROS, S.A.",ECR
"FLUIDRA, S.A.",FDR
"GESTAMP AUTOMOCION, S.A.",GEST
"BANCO CAM, S.A.",CAM
"BORGES AGRICULTURAL & INDUSTRIAL NUTS, S.A.",BAIN
"DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION, S.A.",DIA
"VISCOFAN, S.A.",VIS
"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.",SLR
"FERROVIAL, S.A.",FER
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",BBVA
"GRIFOLS, S.A.",GRF
"ADVEO GROUP INTERNATIONAL, S.A.",ADV
"NATRA, S.A.",NAT
"GRUPO EZENTIS, S.A.",EZE
"INMOBILIARIA COLONIAL, S.A.",COL
"AMADEUS IT GROUP S.A.",AMS
"TALGO, S.A.",TLGO
"CORPORACION FINANCIERA ALBA, S.A.",ALB
"TELEFONICA, S.A.",TEF
"CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, S.A",CAF
"BIOSEARCH, S.A.",BIO
"TUBOS REUNIDOS, S.A.",TRG
"RED ELECTRICA CORPORACION, S.A.",REE
"APPLUS SERVICES, S.A.",APPS
"DURO FELGUERA, S.A.",MDF
"ALMIRALL, S.A.",ALM
"NH HOTEL GROUP, S.A.",NHH
